D:\SelfDrivingCar\IMG\center_2019_06_15_13_15_32_193.jpg, D:\SelfDrivingCar\IMG\left_2019_06_15_13_15_32_193.jpg, D:\SelfDrivingCar\IMG\right_2019_06_15_13_15_32_193.jpg, 0, 0, 0, 7.888563E-05
D:\SelfDrivingCar\IMG\center_2019_06_15_13_15_32_294.jpg, D:\SelfDrivingCar\IMG\left_2019_06_15_13_15_32_294.jpg, D:\SelfDrivingCar\IMG\right_2019_06_15_13_15_32_294.jpg, 0, 0, 0, 8.001504E-05
D:\SelfDrivingCar\IMG\center_2019_06_15_13_15_32_395.jpg, D:\SelfDrivingCar\IMG\left_2019_06_15_13_15_32_395.jpg, D:\SelfDrivingCar\IMG\right_2019_06_15_13_15_32_395.jpg, 0, 0, 0, 7.808849E-05
D:\SelfDrivingCar\IMG\center_2019_06_15_13_15_32_496.jpg, D:\SelfDrivingCar\IMG\left_2019_06_15_13_15_32_496.jpg, D:\SelfDrivingCar\IMG\right_2019_06_15_13_15_32_496.jpg, 0, 0, 0, 7.80885E-05
D:\SelfDrivingCar\IMG\center_2019_06_15_13_15_32_596.jpg, D:\SelfDrivingCar\IMG\left_2019_06_15_13_15_32_596.jpg, D:\SelfDrivingCar\IMG\right_2019_06_15_13_15_32_596.jpg, 0, 0, 0, 7.823734E-05
D:\SelfDrivingCar\IMG\center_2019_06_15_13_15_32_697.jpg, D:\SelfDrivingCar\IMG\left_2019_06_15_13_15_32_697.jpg, D:\SelfDrivingCar\IMG\right_2019_06_15_13_15_32_697.jpg, 0, 0, 0, 7.813696E-05
D:\SelfDrivingCar\IMG\center_2019_06_15_13_15_32_814.jpg, D:\SelfDrivingCar\IMG\left_2019_06_15_13_15_32_814.jpg, D:\SelfDrivingCar\IMG\right_2019_06_15_13_15_32_814.jpg, 0, 0, 0, 7.807897E-05
D:\SelfDrivingCar\IMG\center_2019_06_15_13_15_32_914.jpg, D:\SelfDrivingCar\IMG\left_2019_06_15_13_15_32_914.jpg, D:\SelfDrivingCar\IMG\right_2019_06_15_13_15_32_914.jpg, 0, 0, 0, 7.828277E-05
D:\SelfDrivingCar\IMG\center_2019_06_15_13_15_33_015.jpg, D:\SelfDrivingCar\IMG\left_2019_06_15_13_15_33_015.jpg, D:\SelfDrivingCar\IMG\right_2019_06_15_13_15_33_015.jpg, 0, 0, 0, 7.813269E-05
D:\SelfDrivingCar\IMG\center_2019_06_15_13_15_33_117.jpg, D:\SelfDrivingCar\IMG\left_2019_06_15_13_15_33_117.jpg, D:\SelfDrivingCar\IMG\right_2019_06_15_13_15_33_117.jpg, 0, 0, 0, 8.224725E-05
D:\SelfDrivingCar\IMG\center_2019_06_15_13_15_33_221.jpg, D:\SelfDrivingCar\IMG\left_2019_06_15_13_15_33_221.jpg, D:\SelfDrivingCar\IMG\right_2019_06_15_13_15_33_221.jpg, 0, 0, 0, 7.828958E-05
D:\SelfDrivingCar\IMG\center_2019_06_15_13_15_33_323.jpg, D:\SelfDrivingCar\IMG\left_2019_06_15_13_15_33_323.jpg, D:\SelfDrivingCar\IMG\right_2019_06_15_13_15_33_323.jpg, 0, 0, 0, 7.874375E-05
D:\SelfDrivingCar\IMG\center_2019_06_15_13_15_33_425.jpg, D:\SelfDrivingCar\IMG\left_2019_06_15_13_15_33_425.jpg, D:\SelfDrivingCar\IMG\right_2019_06_15_13_15_33_425.jpg, 0, 0, 0, 7.84398E-05
D:\SelfDrivingCar\IMG\center_2019_06_15_13_15_33_527.jpg, D:\SelfDrivingCar\IMG\left_2019_06_15_13_15_33_527.jpg, D:\SelfDrivingCar\IMG\right_2019_06_15_13_15_33_527.jpg, 0, 0, 0, 7.871689E-05
D:\SelfDrivingCar\IMG\center_2019_06_15_13_15_33_628.jpg, D:\SelfDrivingCar\IMG\left_2019_06_15_13_15_33_628.jpg, D:\SelfDrivingCar\IMG\right_2019_06_15_13_15_33_628.jpg, 0, 0, 0, 7.824825E-05
D:\SelfDrivingCar\IMG\center_2019_06_15_13_15_33_728.jpg, D:\SelfDrivingCar\IMG\left_2019_06_15_13_15_33_728.jpg, D:\SelfDrivingCar\IMG\right_2019_06_15_13_15_33_728.jpg, 0, 0, 0, 7.828083E-05
D:\SelfDrivingCar\IMG\center_2019_06_15_13_15_33_829.jpg, D:\SelfDrivingCar\IMG\left_2019_06_15_13_15_33_829.jpg, D:\SelfDrivingCar\IMG\right_2019_06_15_13_15_33_829.jpg, 0, 0, 0, 7.801763E-05
D:\SelfDrivingCar\IMG\center_2019_06_15_13_15_33_931.jpg, D:\SelfDrivingCar\IMG\left_2019_06_15_13_15_33_931.jpg, D:\SelfDrivingCar\IMG\right_2019_06_15_13_15_33_931.jpg, 0, 0, 0, 7.893452E-05
D:\SelfDrivingCar\IMG\center_2019_06_15_13_15_34_031.jpg, D:\SelfDrivingCar\IMG\left_2019_06_15_13_15_34_031.jpg, D:\SelfDrivingCar\IMG\right_2019_06_15_13_15_34_031.jpg, 0, 0, 0, 7.811979E-05
D:\SelfDrivingCar\IMG\center_2019_06_15_13_15_34_131.jpg, D:\SelfDrivingCar\IMG\left_2019_06_15_13_15_34_131.jpg, D:\SelfDrivingCar\IMG\right_2019_06_15_13_15_34_131.jpg, 0, 0, 0, 7.795611E-05
D:\SelfDrivingCar\IMG\center_2019_06_15_13_15_34_232.jpg, D:\SelfDrivingCar\IMG\left_2019_06_15_13_15_34_232.jpg, D:\SelfDrivingCar\IMG\right_2019_06_15_13_15_34_232.jpg, 0, 0.1625438, 0, 0.08297653
D:\SelfDrivingCar\IMG\center_2019_06_15_13_15_34_333.jpg, D:\SelfDrivingCar\IMG\left_2019_06_15_13_15_34_333.jpg, D:\SelfDrivingCar\IMG\right_2019_06_15_13_15_34_333.jpg, 0, 0.4607583, 0, 0.4928144
